fish,species,lifespan,size,diet,conservation_status,ua_adaptations,ua_explanation,speed,reproduction,migration_patterns,schooling_behavior,habitat_range,predator,prey,venomous_poisonous,fact1,fact2,fact3,source,fact_source,image
Sperm Whale,Carcharhinus leucas,70,"90,000 lb (41,000 kg), 36-54 ft ((11 m - 16 m)","Squid, fish, sharks",Endangered (EN),"Spermaceti organ, Deep-diving ability, Echolocation"," The spermaceti organ helps with buoyancy and echolocation, allowing sperm whales to dive over 3,000 m to hunt squid in near-total darkness.",27 km/h (17 mph),Gestation ~14-16 months; calves nurse for up to 2 years.,"Males migrate toward the poles, while females and calves stay in warmer tropical and temperate waters year-round.",Live in matriarchal pods of 10-20 individuals; males often roam solo.,"Circumglobal; deep waters of all major oceans; prefers depths >1,000 m.",orcas,"giant squid, sharks, fish",None ,"Largest Brain: Sperm whales possess the largest brain of any living animal, weighing up to 20 pounds (9 kilograms)","Deep Divers: They are among the deepest diving mammals, capable of reaching depths of approximately 3,000 meters (9,842 feet).","Loud Communicators: Sperm whales are the loudest animals on the planet, producing echolocation clicks that can reach volumes of around 200 decibels.",fishbase.us,https://factanimal.com/sperm-whale/,/fish/Sperm_Whale.png
Bull Shark,Balaenoptera physalus,32,"316.5 kg (698 lb), 4 m (13.1 ft)","Bony fishes, other sharks, rays, squid, crabs, sea turtles, and occasionally garbage",Vulnerable (VE),"Ability to survive in freshwater, High tolerance for salinity changes, Strong, muscular body ","Bull sharks can thrive in both salt and freshwater due to specialized kidneys that regulate salt levels. Their robust bodies and powerful tails allow for swift, ambush-style attacks.",40 km/h (25 mph),"Viviparous; 1-13 pups per litter, with a 10-11 month gestation period","Bull sharks move between saltwater and freshwater, traveling far upriver and covering great distances",Generally solitary but may form loose groups in feeding areas.,"Circumglobal; found in warm oceans, rivers, and lakes; depths of 1-164 m, commonly 1-30 m.",tiger and great white sharks,"Fish, rays, squid, crabs, sea turtles, and carrio",None,"Freshwater Adaptability: Bull sharks can thrive in both saltwater and freshwater environments, often venturing far up rivers. ","Robust Build: They have a stout, muscular body with a blunt snout, contributing to their name ""bull shark.""","High Bite Force: Bull sharks possess one of the strongest bites among shark species, enabling them to tackle diverse prey.",fishbase.us,https://alphonsefishingco.com/fly-fishing/species/giant-trevally/facts,/fish/Bull_Shark.png
Ocean Sunfish (Mola Mola),Carcharhinus longimanus,Unknown,"5,000 lb (2,300 kg), 11 ft (3.3 m)","Fish, mollusks, zooplankton, jellyfish, crustaceans, brittle stars",Vulnerable (VE),"Clavus, No swim bladder, Thick, elastic skin","The mola lacks a swim bladder, relying on its dense body and large dorsal and anal fins for buoyancy and propulsion, allowing for efficient movement at varying depths.",Unknown ,Produces up to 300 million eggs,"Oceanodromous, circumglobal in tropical and temperate waters, moving between surface and deep waters (30-1,515 m)","Mostly solitary, occasionally seen in loose groups",Circumglobal; subtropical and temperate oceans;,"sea lions, sharks, orcas","gelatinous zooplankton, fish, and crustaceans",Poisonous to eat,"Massive Size: Ocean sunfish are the world's largest bony fish, with average specimens measuring about 10 feet in length and weighing around 2,200 pounds. The largest individuals can reach up to 5,000 pounds, surpassing the weight of an average pickup truck.","Prolific Egg Layers: Female sunfish can lay up to 300 million eggs at once, more than any other vertebrate species.","Unique Teeth Structure: Sunfish have a peculiar dental formation where their teeth are fused into a beak-like structure, resembling a bird's beak.",fishbase.us,https://www.mentalfloss.com/article/64197/14-fascinating-facts-about-ocean-sunfish,/fish/Ocean_Sunfish.png
Black Marlin,Istiompax indica,5-12,"750 kg (1,650 lb), 4.65 m (15.3 ft)","Fish (mainly small tunas), squid, cuttlefish, octopods, large decapod crustaceans",Data Deficient(DD),"Robust, elongated upper jaw. Streamlined body, Large first dorsal fin","The bill is used to slash through schools of fish, stunning prey before consumption. Their streamlined body minimizes drag, allowing for bursts of high-speed swimming.",97 km/h (60 mph),"Spawns in warm waters (~27-28°C), ","Highly migratory, mainly in tropical and subtropical Indo-Pacific waters, occasionally straying into the Atlantic via the Cape of Good Hope.","Generally solitary or in small groups, but may gather in feeding areas.","Found in tropical and subtropical waters of the Indo-Pacific, occasionally entering the Atlantic, typically at depths of 0-200 m but reaching up to 915 m.","Larger sharks, orcas, and humans ","Small tunas, squid, crustaceans",None,"Not Actually Black: Despite their name, black marlins aren't truly black. Their upper bodies are dark blue, transitioning to a grey-white underside, with faint blue stripes and a brownish dorsal fin.","Impressive Size: Black marlins rank among the largest marlin species, reaching lengths up to 15.3 feet (4.65 meters) and weights around 1,500 pounds (680 kilograms).","Stiff Pectoral Fins: Unlike other marlin species, black marlins have rigid pectoral fins that can't be pressed flat against their bodies, aiding in their unique swimming dynamics.",https://www.fisheries.noaa.gov/species/atlantic-yellowfin-tuna,https://factanimal.com/black-marlin/,/fish/Black_Marlin.png
Yellowfin Tuna,Thunnus albacares,9,"440 lbs (200 kg), 7.87 ft (2.4 m)","Fishes, crustaceans, squids.",Least Concern (LC),"Long, narrow caudal peduncle with lateral keels, Yellow fins with black borders","The long, slender caudal peduncle with lateral keels enables efficient propulsion for fast swimming, while the yellow fins with black borders are used for identification and possibly for communication.",75 km/h (47 MPH),"Spawns multiple times a year, with eggs and sperm released into the water for fertilization.","Migratory species that move across tropical and equatorial oceans, spawning more frequently in warm waters.","Schools primarily by size, often with porpoises or other fish.","Circumglobal in tropical and subtropical seas, pelagic, found at depths of 1-250 m.",larger marine predators.,"fish, squid, ",None,"Speedy Swimmers: Yellowfin tuna can swim up to 50 miles per hour (80 km/h), making them one of the fastest fish in the ocean.","Distinctive Coloring: They are named for their bright yellow fins and tails, which contrast with their dark blue backs and silver bellies.","Global Distribution: Yellowfin tuna inhabit tropical and subtropical oceans worldwide, often found in the mixed surface layer above the thermocline.",fishbase.us,https://animalia.bio/yellowfin-tuna,/fish/Yellowfin_Tuna.png
Pacific Halibut,Hippoglossus stenolepis,55,"500 lbs (227 kg), 8 ft (2.44 m)","Groundfish, sculpins, sand lance, herring, octopus, crabs, clams, smaller halibut",Least Concern(LC),"Mottled coloring, Eye migration, Large size"," Pacific halibut's eye migration helps them adapt to their flat, sideways swimming posture, aiding in better vision. Their mottled color provides camouflage, blending them with sandy or muddy ocean floors.",1.5 km/h (0.93 mph),"Females release 500,000 to 4 million eggs;",Juveniles live in shallow waters; adults migrate seasonally between shallow feeding grounds and deeper spawning areas.,Solitary fish,"Coastal waters from Santa Barbara, California, to Nome, Alaska. Found in the North Pacific Ocean, at depths of 30-1000 m.","sharks, marine mammals","groundfish, crabs, and clams.",None,"Eye Migration: Pacific halibut are born with an eye on each side of their head and swim upright like other fish. As they grow, around six months of age, one eye migrates to the right side of their body, and they begin swimming on their side with both eyes on the upper side.","Exceptional Size: These flatfish are among the largest in the world, reaching lengths over 8 feet and weights exceeding 500 pounds.","Long Lifespan: Pacific halibut can live up to 55 years, with males and females maturing at different ages; males typically mature around 8 years, while females around 12 years.",https://www.fisheries.noaa.gov/species/pacific-halibut,https://www.adfg.alaska.gov/index.cfm?adfg=halibut.printerfriendly&utm_source=chatgpt.com,/fish/Pacific_Halibut.png
Southern Bluefin Tuna,Thunnus maccoyii,20,"573 lbs (260 kg), 8 ft (2.45 m)","Fish, crustaceans, cephalopods, salps",Endangered (EN),"Swim bladder for buoyancy, highly migratory, specialized color patterns",The Southern Bluefin Tuna has a swim bladder that helps the tuna maintain buoyancy at varying depths. Its ability to migrate across vast distances ensures access to ideal spawning and feeding grounds.,75 km/h (47 MPH),Not all mature fish spawn every year; some may spawn every few years.,"Highly migratory, moving between temperate seas for feeding and tropical seas for spawning.","Forms large schools, especially during migration.","Circumglobal in temperate and cold seas, depths of up to 2,743 meters.","large predators, including sharks","fish, crustaceans, and cephalopods",None,"Exceptional Size: Southern Bluefin Tuna can reach impressive sizes, growing up to 2.5 meters (8.2 feet) in length and weighing as much as 260 kilograms (570 pounds).","Endangered Status: Despite their size and strength, Southern Bluefin Tuna are critically endangered due to overfishing. Conservation efforts are ongoing to protect and restore their populations.","High Market Value: These tuna are highly prized in the seafood market, particularly in Japan, where they are valued for sushi and sashimi. A single fish can fetch substantial prices at auctions.",fishbase.us,https://greenglobaltravel.com/southern-bluefin-tuna-facts-endangered-species-spotlight/,/fish/Southern_Bluefin_Tuna.png
Cobia,Rachycentron canadum,10-15,"100 lbs (45.36 kg), 6 feet ( 1.83 m) ","Carnivorous, primarily feeding on crabs, squid, and fish",Least Concern (LC),"its distinctive dorsal spines, protruding lower jaw, lack of swim bladder, association with larger marine animals, and tolerance to varying temperatures and salinities.","Cobia have a broad, flattened head and a long, slender body, which aids in their predatory lifestyle.",72.45 km/h (45 mph) ,Females can spawn up to 30 times during the season. ,"Cobia exhibit seasonal migrations, wintering in the Gulf of Mexico and moving northward as far as Massachusetts during the summer months, typically passing Florida around March.","Generally solitary, cobia sometimes form small groups, especially during spawning periods. They are also known to congregate around structures like reefs, wrecks, and buoys. ​","Cobia are found in warm-temperate to tropical waters worldwide, including the western and eastern Atlantic Ocean, throughout the Caribbean, and in the Indo-Pacific regions. ",mahi-mahi and shortfin mako sharks.,"fish, crabs, and squid.",None ,Sole Member of Its Family: Cobia are the only member of the family Rachycentridae in North America.,"​Impressive Size and Longevity: They can grow up to 6 feet in length, weigh as much as 100 pounds, and live up to 12 years. ​
NOAA Fisheries. ","​Distinctive Juvenile Appearance: Young cobia have unique coloring, featuring alternating black and white horizontal stripes with splotches of bronze, orange, and green. ",https://www.fisheries.noaa.gov/species/cobia,https://www.fisheries.noaa.gov/species/cobia,/fish/Cobia.png
Hammerhead Shark (Great),Sphyrna mokarran,20-30,500 lbs (226.8 kg) 20 feet (6.1 m) ,"Invertebrates (crabs, squid, octopus, and lobsters), bony fishes (such as skates and rays, tarpon, sardines, groupers, sea catfishes, jacks, and grunts), as well as other sharks, including some cannibalism. ",Critically Endangered (CE),"Cephalofoil (Hammer-Shaped Head) and Tall, Sickle-Shaped First Dorsal Fin","The great hammerhead shark possesses a distinctive cephalofoil, which enhances its maneuverability and sensory perception, allowing for superior electroreception to detect prey hidden in the sand while maintaining hydrodynamic efficiency for swift, agile movements in both coastal and open-ocean environments.",40 km/h (25 mph),"The gestation period is approximately 11 months, with litter sizes ranging from 6 to 42 pups, typically born during the spring or summer months.","Great hammerheads are highly migratory, found in warm temperate and tropical waters worldwide. During summer months, they migrate towards the poles in search of cooler waters.","Unlike some other hammerhead species that form large schools, great hammerheads are generally solitary hunters.","They inhabit warm temperate and tropical waters around the world, ranging from latitudes 40°N to 35°S. They are found in both coastal areas and deep offshore waters at depths of up to 300 meters.",Larger sharks ," marine organisms, such as invertebrates, bony fishes, and other sharks.",None ,"Largest Hammerhead Species: The great hammerhead is the largest of all hammerhead shark species, reaching lengths of up to 20 feet.","Unique Head Shape: Their nearly straight, hammer-shaped head is marked by a prominent indentation at the midline, distinguishing them from other hammerhead species.","Solitary Nature: Unlike other hammerhead species that may form schools, great hammerheads are typically solitary hunters.",https://www.fisheries.noaa.gov/new-england-mid-atlantic/atlantic-highly-migratory-species/shark-identification-cooperative-shark-2#great-hammerhead,https://media.fisheries.noaa.gov/dam-migration/great_hammerhead_petition_2013-accessible.pdf,/fish/Hammerhead_Shark.png
Swordfish ,Xiphias gladius,9-12,"(1,430 pounds) 650 kilograms  3 meters (10 feet),","Pelagic fish such as mackerel, herring, and squid.",Least Concern (LC),"Elongated Bill (Sword), Specialized Heat Exchange System","The swordfish's elongated bill is used to slash through schools of fish, , while its specialized cranial heat-exchange system enhances vision in cold, deep waters. Its streamlined, scaleless body reduces drag, enabling rapid acceleration and sustained high-speed swimming in pursuit of prey.",64 km/h (40 mph),"oviparous, releasing eggs into the water column. Females can produce millions of eggs per spawning event, which are fertilized externally.","Highly migratory, traveling long distances across oceans. They inhabit tropical and temperate parts of the Atlantic, Pacific, and Indian Oceans","Swordfish are generally solitary creatures but may occasionally be found in loose aggregations, especially in areas abundant with prey.","Swordfish are found widely in tropical and temperate parts of the Atlantic, Pacific, and Indian Oceans, from near the surface to depths of 550 meters (1,800 feet)",Larger sharks/ Fish ,variety of pelagic fish and squid.,None ,"No Teeth or Scales in Adulthood: Adult swordfish lose all teeth and scales, adaptations that may reduce drag and enhance swimming efficiency","Not Used for Spearing: Contrary to popular belief, the ""sword"" is not used to spear but to slash at prey to injure them, making capture easier.​","Wide Temperature Tolerance: Swordfish prefer water temperatures between 18 and 22 °C (64 and 72 °F) but have the widest tolerance among billfish, being found from 5 to 27 °C (41 to 81 °F).",fishbase.us,https://kids.kiddle.co/Swordfish,/fish/Swordfish.png
Giant Manta Ray ,Mobula birostris,45,"5,300 pounds (2,400 kilograms),  26 feet (8 meters)","Zooplankton, including euphausiids, copepods, mysids, decapod larvae, and shrimp.",Endangered (EN),"Cephalic Fins, Filter Feeding, Large Brain","Giant manta rays use horn-shaped cephalic fins to funnel plankton-rich water into their mouths, filter it with specialized gill rakers, and rely on their large brains—one of the biggest among fish—for advanced navigation and social behaviors.",24 Km/h (15 miles per hour),"Maturity at 4 meters for males and 5 meters for females, have a gestation period of 12–13 months, typically give birth to a single 1.4-meter-wide pup, and reproduce only every two to three years, making their populations especially vulnerable.","Giant manta rays are highly migratory, traveling up to 1,500 kilometers as they follow plankton-rich waters and visit cleaning stations across tropical and temperate oceans.","Generally solitary but can be found in groups, especially in areas with abundant food or at cleaning stations.","Giant manta rays inhabit tropical, subtropical, and temperate oceans worldwide, commonly found offshore in oceanic waters and along productive coastlines near thermal fronts and upwelling zones.",Large sharks and orcas,"Zooplankton, including various small crustaceans and larvae.",None ,"Giant manta rays have been observed leaping out of the water, a behavior known as breaching, which may be a form of communication or parasite removal.","Each giant manta ray has a unique pattern of spots on its ventral side, much like a human fingerprint, allowing researchers to identify individuals.","Despite their size, giant manta rays are known to be gentle and curious around divers, often approaching them closely without aggression.",https://www.fisheries.noaa.gov/species/giant-manta-ray,factsmostly.com,/fish/Giant_Manta_Ray.png
